trial,stimWord,stimColor,condition,leftWord,leftColor,rightWord,rightColor,response,stimImage,leftImage,rightImage
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,22.png,28.png,27.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,28.png,29.png,20.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,20.png,23.png,26.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,28.png,21.png,18.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,20.png,21.png,26.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,26.png,29.png,24.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,30.png,19.png,26.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,28.png,20.png,29.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,32.png,23.png,30.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,20.png,17.png,24.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,22.png,31.png,20.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,28.png,27.png,24.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,32.png,28.png,21.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,20.png,18.png,31.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,18.png,29.png,22.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,20.png,21.png,18.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,30.png,23.png,32.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,30.png,17.png,32.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,22.png,18.png,17.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,28.png,20.png,17.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,20.png,29.png,24.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,20.png,25.png,26.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,30.png,18.png,25.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,24.png,17.png,22.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,30.png,24.png,27.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,20.png,24.png,25.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,20.png,32.png,23.png
,HAPPY,white,angry,ANGRY,white,HAPPY,white,buttonA,28.png,24.png,19.png
